38 Provinsi,,,
,"Jumlah Akomodasi, Kamar, dan Tempat Tidur yang Tersedia pada Hotel Bintang",,
,Akomodasi,Kamar,Tempat Tidur
,2021,2021,2021
ACEH,26,1927,3107
SUMATERA UTARA,145,12251,18192
SUMATERA BARAT,86,5225,8052
RIAU,93,8527,12304
JAMBI,37,2644,3987
SUMATERA SELATAN,77,6618,9112
BENGKULU,17,1053,1582
LAMPUNG,28,2858,4138
KEP. BANGKA BELITUNG,51,3346,5030
KEP. RIAU,101,11784,16263
DKI JAKARTA,384,52543,68868
JAWA BARAT,521,50053,77539
JAWA TENGAH,333,27348,42558
DI YOGYAKARTA,168,16293,25777
JAWA TIMUR,283,30119,43042
BANTEN,126,12398,18627
BALI,403,46302,63194
NUSA TENGGARA BARAT,63,4997,7562
NUSA TENGGARA TIMUR,34,2628,4088
KALIMANTAN BARAT,48,4936,6982
KALIMANTAN TENGAH,20,1673,2340
KALIMANTAN SELATAN,60,4782,6836
KALIMANTAN TIMUR,70,7554,10486
KALIMANTAN UTARA,7,411,593
SULAWESI UTARA,50,4903,7092
SULAWESI TENGAH,13,993,1428
SULAWESI SELATAN,147,11887,17641
SULAWESI TENGGARA,25,1819,2789
GORONTALO,7,590,926
SULAWESI BARAT,3,109,148
MALUKU,22,1272,1780
MALUKU UTARA,11,664,999
PAPUA BARAT,19,1362,2037
PAPUA BARAT DAYA,-,-,-
PAPUA,43,3193,4573
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3521,345062,499672
