38 Provinsi,,,
,"Jumlah Akomodasi, Kamar, dan Tempat Tidur yang Tersedia pada Hotel Bintang",,
,Akomodasi,Kamar,Tempat Tidur
,2023,2023,2023
ACEH,43,2128,3497
SUMATERA UTARA,146,12200,18541
SUMATERA BARAT,92,5575,8944
RIAU,100,8881,12809
JAMBI,35,2759,4138
SUMATERA SELATAN,83,7181,10504
BENGKULU,17,1049,1438
LAMPUNG,28,2747,4179
KEP. BANGKA BELITUNG,55,4445,5404
KEP. RIAU,119,12836,18241
DKI JAKARTA,448,57116,74333
JAWA BARAT,598,54235,84576
JAWA TENGAH,359,29523,54786
DI YOGYAKARTA,193,18818,36668
JAWA TIMUR,349,34460,53235
BANTEN,148,12975,19555
BALI,541,54275,76047
NUSA TENGGARA BARAT,96,6626,9766
NUSA TENGGARA TIMUR,46,3143,5554
KALIMANTAN BARAT,49,5084,7423
KALIMANTAN TENGAH,28,2228,3347
KALIMANTAN SELATAN,57,4609,7422
KALIMANTAN TIMUR,73,7777,11437
KALIMANTAN UTARA,8,468,667
SULAWESI UTARA,52,4729,6522
SULAWESI TENGAH,14,1109,1733
SULAWESI SELATAN,195,14570,21436
SULAWESI TENGGARA,27,1879,2837
GORONTALO,8,635,849
SULAWESI BARAT,6,276,402
MALUKU,26,1554,2082
MALUKU UTARA,13,720,1050
PAPUA BARAT,7,524,748
PAPUA BARAT DAYA,15,1269,2351
PAPUA,32,2837,4347
PAPUA SELATAN,4,246,353
PAPUA TENGAH,15,500,685
PAPUA PEGUNUNGAN,4,174,291
INDONESIA,4129,382160,578197
