38 Provinsi,,,
,"Jumlah Akomodasi, Kamar, dan Tempat Tidur yang Tersedia pada Hotel Bintang",,
,Akomodasi,Kamar,Tempat Tidur
,2019,2019,2019
ACEH,23,1854,3114
SUMATERA UTARA,130,11568,20465
SUMATERA BARAT,82,4648,7344
RIAU,90,7838,21148
JAMBI,36,2567,3756
SUMATERA SELATAN,85,7259,10216
BENGKULU,10,591,899
LAMPUNG,22,2410,3448
KEP. BANGKA BELITUNG,53,3461,5508
KEP. RIAU,127,14978,19834
DKI JAKARTA,397,55800,69236
JAWA BARAT,495,48755,75098
JAWA TENGAH,311,25630,40846
DI YOGYAKARTA,163,16231,28552
JAWA TIMUR,258,27485,40373
BANTEN,125,12094,17675
BALI,507,70146,97099
NUSA TENGGARA BARAT,72,5173,7991
NUSA TENGGARA TIMUR,30,2243,3766
KALIMANTAN BARAT,42,4390,6493
KALIMANTAN TENGAH,19,1534,2242
KALIMANTAN SELATAN,57,4655,6954
KALIMANTAN TIMUR,70,7527,10599
KALIMANTAN UTARA,6,323,518
SULAWESI UTARA,42,3821,5605
SULAWESI TENGAH,10,786,1154
SULAWESI SELATAN,142,11932,17636
SULAWESI TENGGARA,21,1634,2505
GORONTALO,7,527,787
SULAWESI BARAT,7,429,679
MALUKU,20,1254,1846
MALUKU UTARA,4,394,671
PAPUA BARAT,18,1293,1871
PAPUA BARAT DAYA,-,-,-
PAPUA,35,2519,3902
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,3516,363749,539830
