38 Provinsi,,,
,"Jumlah Akomodasi, Kamar, dan Tempat Tidur yang Tersedia pada Hotel Bintang",,
,Akomodasi,Kamar,Tempat Tidur
,2024,2024,2024
ACEH,56,3146,4979
SUMATERA UTARA,171,14172,20914
SUMATERA BARAT,115,6799,10220
RIAU,101,8757,12016
JAMBI,38,2894,4199
SUMATERA SELATAN,116,7918,11399
BENGKULU,17,1068,1729
LAMPUNG,45,3923,5711
KEP. BANGKA BELITUNG,57,4660,7254
KEP. RIAU,139,14492,20629
DKI JAKARTA,496,73255,101544
JAWA BARAT,620,67250,106035
JAWA TENGAH,388,31454,47820
DI YOGYAKARTA,207,20442,31631
JAWA TIMUR,368,55783,57899
BANTEN,150,15813,24549
BALI,550,60048,84685
NUSA TENGGARA BARAT,181,9004,13258
NUSA TENGGARA TIMUR,52,3949,6142
KALIMANTAN BARAT,53,5380,7365
KALIMANTAN TENGAH,40,2595,3994
KALIMANTAN SELATAN,62,5057,7351
KALIMANTAN TIMUR,75,8118,12677
KALIMANTAN UTARA,12,628,944
SULAWESI UTARA,58,4930,6927
SULAWESI TENGAH,31,1455,2224
SULAWESI SELATAN,192,15070,22272
SULAWESI TENGGARA,28,2006,2960
GORONTALO,8,687,1123
SULAWESI BARAT,7,326,373
MALUKU,31,1715,2436
MALUKU UTARA,19,849,1239
PAPUA BARAT,11,591,814
PAPUA BARAT DAYA,18,2627,4606
PAPUA,34,2499,3750
PAPUA SELATAN,7,317,480
PAPUA TENGAH,24,1851,2412
PAPUA PEGUNUNGAN,7,238,370
INDONESIA,4584,461766,656930
