38 Provinsi,,,,,,,,,,,,,
,Tingkat Penghunian Kamar pada Hotel Bintang,,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,25.78,31.58,33.52,20.82,30.18,29.96,32.84,31.18,27.81,33.67,39.32,35.97,-
SUMATERA UTARA,42.59,47.5,45.41,41.29,47.68,50.17,50.01,46.86,46.39,47.64,53.19,53.76,-
SUMATERA BARAT,39.52,45.63,44.05,36.49,51.04,57.96,56.27,47.86,47.45,49.09,52.9,56.38,-
RIAU,37.07,36.48,35.39,32.8,38.58,39.98,37.81,37.58,39.75,38.07,41.01,47.88,-
JAMBI,43.91,53.18,45.66,42.99,56.33,52.38,61.49,56.18,56.21,60.63,60.9,60.2,-
SUMATERA SELATAN,44.29,49.62,51.11,46.01,57.29,55.08,54.87,58.86,54.86,57.15,58.41,61.38,-
BENGKULU,33.93,40.03,37,32.21,45.28,47.35,53.65,42.62,50.01,49.84,51.56,54.85,-
LAMPUNG,46.11,50.89,48.99,46,54.03,56.36,57.78,53.27,56.85,52.22,54.96,64.71,-
KEP. BANGKA BELITUNG,26.55,29.08,31.12,24.85,31,33.92,38.2,34,33.31,33.67,39.14,36.62,-
KEP. RIAU,47.58,43.69,44.46,36.78,41.87,52.54,40.03,50.4,45.45,43.83,60.91,61.47,-
DKI JAKARTA,48.4,52.62,53.37,42.52,50.75,55.6,55.5,55.86,57.33,56.42,61.37,61.51,-
JAWA BARAT,46.5,49.39,46.25,42.81,47.62,53.48,54.97,50.8,50.73,52.23,58.02,61.94,-
JAWA TENGAH,41,45.18,44.61,41.66,48.12,50.22,50.76,48.22,50.12,45.78,50.98,56.77,-
DI YOGYAKARTA,58.21,58.97,49.6,41.14,60.54,65.64,62.71,57.48,58.99,57.74,66.77,73.73,-
JAWA TIMUR,46.07,49.63,49.71,43.14,54.86,57.18,58.25,51.52,53.91,56.64,57.59,62.77,-
BANTEN,48.68,54.46,48.2,44.02,52.64,50.16,57.12,53.74,59.06,57.57,56.85,57.45,-
BALI,46.16,41.22,40.01,44.31,47.3,59.59,63.6,60.64,59.25,57.43,54.89,62.19,-
NUSA TENGGARA BARAT,26.88,37.83,34.49,26.7,31.91,37.81,44.17,44.47,41.59,45.91,40.32,43.27,-
NUSA TENGGARA TIMUR,28.06,32.34,33.31,35.03,43.61,45.27,45.46,52.67,48.1,45.54,44.31,45.4,-
KALIMANTAN BARAT,47.63,52,49.68,47.3,53.71,57.51,57.15,58.56,56.34,52.03,60.51,58.72,-
KALIMANTAN TENGAH,43.45,50.68,48.54,38.92,54.54,55.2,52.99,56.19,50.87,56.28,55.58,56.02,-
KALIMANTAN SELATAN,43.69,51.86,51.43,46.86,55.3,54.26,55.26,52.26,54.3,60.21,68.7,62.18,-
KALIMANTAN TIMUR,53.52,60.71,57.44,53.62,58.12,62.38,63.04,58.82,60.48,62.39,67.39,68.76,-
KALIMANTAN UTARA,43.88,50.6,52.95,40.46,55.44,55.16,50.49,52.41,46.21,58.75,60.9,59.27,-
SULAWESI UTARA,35.83,39.25,36.48,35.53,41.48,41.42,42.48,40.45,46.12,45.49,50.66,53.26,-
SULAWESI TENGAH,41.26,55.22,45.08,31.95,54.93,51.9,54.02,60.15,54.67,60.46,65.17,55.12,-
SULAWESI SELATAN,40.2,48.88,47.12,37.42,45.2,47.17,48.02,48.79,50.94,53.69,57.39,55.17,-
SULAWESI TENGGARA,34.94,42.28,41.11,30.23,41.76,40.48,39.57,41.59,44,53.48,51.4,49.41,-
GORONTALO,30.73,39.58,37.57,34.72,46.59,44.81,35.37,36.23,56.45,49.59,48.07,49.33,-
SULAWESI BARAT,20.23,28.25,25.74,16.23,44.18,41.54,43.79,39.9,29.19,48.05,43.13,48.14,-
MALUKU,27.9,31.09,29.94,32.12,33.06,32.4,37.6,38.09,37.84,41.53,43.9,41.89,-
MALUKU UTARA,36.96,46.84,45.68,34.62,42.53,36.98,49.65,46.87,41.73,50.02,57.39,50.46,-
PAPUA BARAT,41.9,44.48,42.93,33.03,45.74,47.52,47.76,47.93,44,57.93,62.06,52.62,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,26.67,33.63,39.79,34.83,31.35,33.06,34.91,37.7,40.23,35.68,47.84,46.02,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,44.86,47.83,46.26,41.37,49.03,53.67,54.63,52.46,53.02,53.02,56.72,59.74,-
