38 Provinsi,,,,,,,,,,,,,
,Tingkat Penghunian Kamar pada Hotel Bintang,,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,23.39,24.32,13.3,22.6,24.13,24.46,29.41,-,-,-,-,-,-
SUMATERA UTARA,43.12,39.64,31.98,40.1,38.93,41.53,43.5,-,-,-,-,-,-
SUMATERA BARAT,47.23,40.22,21.5,48.34,43.21,45.33,47.64,-,-,-,-,-,-
RIAU,40.61,41.8,31.24,43.31,44.59,44.46,46.58,-,-,-,-,-,-
JAMBI,45.93,47.53,33.6,47.43,48.28,51.17,54.73,-,-,-,-,-,-
SUMATERA SELATAN,43.65,45.18,31.46,47.73,48.14,46.42,48.54,-,-,-,-,-,-
BENGKULU,40.41,35.63,23.75,44.12,45.5,45.44,50.24,-,-,-,-,-,-
LAMPUNG,40.97,37.7,27.1,43.42,42.94,48.45,47.29,-,-,-,-,-,-
KEP. BANGKA BELITUNG,22.91,22.33,16.04,25.1,23.56,25.51,27.68,-,-,-,-,-,-
KEP. RIAU,47.12,42.01,40.89,46.35,46.09,50.01,49.5,-,-,-,-,-,-
DKI JAKARTA,53.5,59.07,38.26,46.86,51.31,52.35,55.91,-,-,-,-,-,-
JAWA BARAT,47.59,45.51,28.77,46.37,47.08,47.08,49.52,-,-,-,-,-,-
JAWA TENGAH,43.8,41.55,29.4,46.28,44.4,45.83,46.99,-,-,-,-,-,-
DI YOGYAKARTA,56.84,52.34,23.15,49.98,53.94,53.86,58.48,-,-,-,-,-,-
JAWA TIMUR,47.83,47.8,33.1,49.81,49.26,51.81,52.65,-,-,-,-,-,-
BANTEN,49.92,51.17,37.14,45.9,48.08,46.62,53.13,-,-,-,-,-,-
BALI,60.28,51.62,46.61,57.23,58.1,64.66,67.75,-,-,-,-,-,-
NUSA TENGGARA BARAT,36.38,32.75,26.36,38.11,38.76,41.1,49.92,-,-,-,-,-,-
NUSA TENGGARA TIMUR,32.63,28.28,27.02,37.64,42.81,41.98,50.95,-,-,-,-,-,-
KALIMANTAN BARAT,46.22,48.6,37.41,44.54,50.43,49.08,51.24,-,-,-,-,-,-
KALIMANTAN TENGAH,40.3,46.79,34.79,43.96,47.5,45.94,50.54,-,-,-,-,-,-
KALIMANTAN SELATAN,49.84,53.29,35.39,52.41,52.69,51.58,52.17,-,-,-,-,-,-
KALIMANTAN TIMUR,52.05,52.78,36.43,50.69,52.67,51.69,56.1,-,-,-,-,-,-
KALIMANTAN UTARA,32.77,41.39,33.82,40.87,48.81,49.55,47.51,-,-,-,-,-,-
SULAWESI UTARA,37.54,36.68,33.46,36.81,43.23,43.99,43.74,-,-,-,-,-,-
SULAWESI TENGAH,45.23,49.6,36.4,44.46,48.97,50.81,49.45,-,-,-,-,-,-
SULAWESI SELATAN,45.93,45.33,29.52,41.68,40.99,42.99,47.73,-,-,-,-,-,-
SULAWESI TENGGARA,29.35,31.01,22.72,29.12,34.47,33.19,34.8,-,-,-,-,-,-
GORONTALO,32.59,33.02,23.52,29.27,32.9,44.45,36.1,-,-,-,-,-,-
SULAWESI BARAT,22.9,20.86,15.34,18.51,23.11,28.7,28.6,-,-,-,-,-,-
MALUKU,24.16,27.66,24.44,28.25,33.01,32.15,33.98,-,-,-,-,-,-
MALUKU UTARA,36.67,36.21,28.51,33.49,42.97,44.24,44.82,-,-,-,-,-,-
PAPUA BARAT,34.5,23,19.93,20.22,22.38,28.58,29.38,-,-,-,-,-,-
PAPUA BARAT DAYA,45.2,46.99,36.75,37.88,35.23,40.64,41.6,-,-,-,-,-,-
PAPUA,34.41,33.89,29.61,42.89,39.55,38.62,42.21,-,-,-,-,-,-
PAPUA SELATAN,53.82,40.19,53.55,40.29,47.7,49.1,60.67,-,-,-,-,-,-
PAPUA TENGAH,35.51,40.53,27.23,32.86,46.9,40.89,34.42,-,-,-,-,-,-
PAPUA PEGUNUNGAN,32.16,37.09,28.3,13.7,24.06,13.21,16.85,-,-,-,-,-,-
INDONESIA,48.38,47.21,33.56,46.98,48.28,49.98,52.79,-,-,-,-,-,-
