38 Provinsi,,,,,,,,,,,,,
,Tingkat Penghunian Kamar pada Hotel Bintang,,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,24.23,44.04,31.03,40.29,45.71,38.06,44.8,53.44,60.94,48.08,40,37.42,41.58
SUMATERA UTARA,44.8,48.06,43.49,48.06,49.36,48.7,49.05,48.66,57.76,46.23,44.83,49.33,48.26
SUMATERA BARAT,33.56,42.95,33.84,41.38,48.42,42.81,47.12,44.07,48.34,47.96,49.5,51.96,44.34
RIAU,37.38,41.86,38.12,40.82,48.56,48.02,48.74,46.63,47.02,46.67,47.39,48.91,45.09
JAMBI,39.33,46.2,46.36,48.31,54.69,54.05,55.66,54.69,53.33,58.6,53.81,54.91,51.89
SUMATERA SELATAN,47.42,51.61,44.15,52.21,51.97,51.13,52.3,52.68,52.36,57.12,53.67,55.67,51.8
BENGKULU,34.49,39.88,35.44,40.34,46.77,47.77,49.59,47.5,49.73,52.67,55.24,57.95,46.54
LAMPUNG,44.61,43.87,36.74,39.2,45.34,50.19,46.82,48.63,49.27,50.52,51.41,58.72,47.13
KEP. BANGKA BELITUNG,23.05,25.63,22.88,23.85,29.11,28.16,33.17,31.8,30.56,34.79,31.53,35.93,29.22
KEP. RIAU,53.78,62.51,54.85,51.63,56.21,64.78,52.36,56.35,54.06,55.66,57.98,59.92,55.77
DKI JAKARTA,51.73,51.08,44.08,43.47,52.79,51.54,54.23,53.28,53.47,59.78,60.53,62.05,53.38
JAWA BARAT,45.94,49.09,40.56,46.32,52.31,54.42,55.94,51.09,51.97,53.85,52.99,58.56,51.37
JAWA TENGAH,40.63,44.17,36.73,45.88,49.06,49.44,50.04,46,47.66,48.78,47.12,52.7,46.55
DI YOGYAKARTA,53.56,52.04,37.8,48.64,61.89,60.57,63.25,51.94,51.35,55.9,60.98,70.24,55.7
JAWA TIMUR,45.02,50.53,43.53,48.57,53.52,55.02,59.55,56.54,56.42,58.07,57.24,58.44,53.95
BANTEN,48.17,49.26,45.99,49.89,56.03,58.23,56.42,56.09,53.12,53.57,54.42,54.63,52.81
BALI,56.27,55.27,52.71,57.69,66.1,65.78,68.78,70.16,66.34,64.37,59.61,63.71,62.58
NUSA TENGGARA BARAT,32.49,35.4,28.45,31.75,39.25,41.59,48.65,55.26,51.58,43.89,36.24,38.42,40.39
NUSA TENGGARA TIMUR,33.2,34.93,32.46,38.47,43.72,44.85,50.07,53.79,49.74,46.92,38.04,40.49,42.48
KALIMANTAN BARAT,39.52,48.94,45.35,46.72,51.61,49.98,52.07,50.74,54.11,53.31,50.91,55.51,49.89
KALIMANTAN TENGAH,40.85,43.49,45.35,43.04,57.63,55.59,56.55,55.2,52.62,60.67,60.93,54.46,51.96
KALIMANTAN SELATAN,51.15,50.5,48.48,47.05,56.9,57.77,59.95,59.82,58.24,60.36,61.77,64.72,56.4
KALIMANTAN TIMUR,53.81,60.49,53.49,54.87,69.6,70.2,69.88,67.62,70.31,72.74,68.39,69.41,65.1
KALIMANTAN UTARA,44.48,47.23,47.57,36.65,51.09,55.02,56.25,58.66,61.25,57.72,59.3,58.87,53.03
SULAWESI UTARA,36.33,39.31,38.9,41.71,42.18,52.45,53.98,52.18,54.04,52.03,54.62,53.99,47.79
SULAWESI TENGAH,45.65,54.4,47.67,46.52,57.19,54.64,54.46,60.97,60.68,60.5,61.81,57.28,55.76
SULAWESI SELATAN,40.74,49.27,43.95,42.13,49.33,52.21,53.67,54.59,52.18,53.19,54.24,52.39,49.26
SULAWESI TENGGARA,34.76,34.28,31.9,30.7,42.05,38.18,45.04,40.65,43.83,43.23,50.26,49.51,40.37
GORONTALO,38.33,35.52,35.7,40.24,45.64,46.92,52.86,58.52,56.95,57.78,64.75,56.59,49.17
SULAWESI BARAT,26.84,34.08,22.58,19.42,28.51,28.02,29.31,29.97,38.35,37.47,51.64,41.65,32.67
MALUKU,29.54,33.32,28.8,29.68,37.48,38.07,40.07,37.11,35.12,41.85,36.04,39.54,35.53
MALUKU UTARA,35.38,36.15,37.39,38.56,43.33,46.69,47.89,49.61,52.24,49.89,47.72,49,44.68
PAPUA BARAT,28.98,26.54,35.73,24.61,27.84,33.33,37.09,45.52,43.61,32.78,48.08,38.95,35.79
PAPUA BARAT DAYA,42.72,42.72,48.63,43.26,52.05,52.45,46.5,47.09,64.57,53.9,57.51,54.06,50.81
PAPUA,51.47,35.48,45.27,33.57,39.41,45.34,39.32,48.91,42.61,45.99,52.11,52.22,43.69
PAPUA SELATAN,33.31,45.93,47.64,38.07,60.58,51.3,63.48,57.5,58.62,67.41,56.92,48.94,53.4
PAPUA TENGAH,28.22,37.59,49.41,36.33,40.68,39.69,40.77,40.2,30.64,47.37,41.72,43.17,39.78
PAPUA PEGUNUNGAN,27.91,23.44,25.57,24.76,28.02,35.41,33.44,44.12,31.88,33.33,31.01,33.14,31.13
INDONESIA,46.72,49.45,43.41,47.14,54.03,54.69,56.36,54.85,54.68,55.67,54.96,58.06,52.63
