38 Provinsi,,,,,,,,,,,,,
,Tingkat Penghunian Kamar pada Hotel Bintang,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,31.36,41.46,40.95,40.13,30.01,42.43,53.18,46.4,50.13,47.71,50.35,41.7,-
SUMATERA UTARA,42.85,45.31,54.44,49.83,40.45,49.53,48.42,47.88,44.29,47.05,52.1,51.09,-
SUMATERA BARAT,46.08,53.11,57.34,56.22,34.57,54.72,59.41,54.69,53.95,59.45,62.27,60.18,-
RIAU,43.73,42.63,49.67,49.6,40.57,45.57,45.28,46.22,47.06,47.45,49.84,51.93,-
JAMBI,41.78,40.76,42.66,42.42,38.58,36.51,45.12,46.35,45.2,48.91,49.79,49.51,-
SUMATERA SELATAN,59.45,50.83,50.62,51.7,43.06,54.51,53.86,54.31,41.97,57.06,59.79,58.98,-
BENGKULU,46.2,68.27,64.61,57.53,50.52,58.98,66.96,62.69,65.76,68.97,69.32,67.97,-
LAMPUNG,42.89,54.44,57.24,62.37,49.67,56.11,59.42,60.96,64.24,62.99,67.43,69.51,-
KEP. BANGKA BELITUNG,27.27,30.17,35.28,39.75,22.98,34,34.76,34.13,32.76,42.89,45.06,39.08,-
KEP. RIAU,53.12,50.86,49.6,50.03,42.13,51.18,49.67,47.82,50.18,51.42,56.56,56.67,-
DKI JAKARTA,69.84,63.37,59.56,58.92,54.32,50.51,64.15,58.11,58.97,62.67,64.17,61.59,-
JAWA BARAT,45.33,51.57,52.69,53.17,38.79,53.13,54.69,49.58,50.6,56.07,58.95,62.4,-
JAWA TENGAH,42.49,44.17,45.32,45.86,35.23,49.14,47.02,45.15,44.99,48.4,52.18,53.29,-
DI YOGYAKARTA,50.19,54.19,56.77,62.75,34.69,64.31,67.86,59,51.6,59.92,63.93,72.43,-
JAWA TIMUR,51.52,52.65,53.47,53.01,40.96,57.73,60.08,54.49,54.18,59.93,64.25,62.77,-
BANTEN,49.92,53.31,42.42,44.25,41.24,45,52.58,49.09,49.63,50.03,50.42,51.96,-
BALI,53.27,56.48,55.43,60.33,51.56,60.37,61.71,67.1,63.22,63.3,59.46,62.55,-
NUSA TENGGARA BARAT,32.84,32.63,34.11,39.43,33.34,37.34,43.85,52.12,47.85,50.55,45.31,47.79,-
NUSA TENGGARA TIMUR,35.39,45.4,44.88,54.73,49.52,51.4,53.12,58.72,52.26,55.59,52.55,53.75,-
KALIMANTAN BARAT,40.06,46.12,44.05,47.93,39.54,48.52,50.37,47.63,46.28,45.18,52.89,51.14,-
KALIMANTAN TENGAH,50.06,52.32,62.78,56.74,52.24,46.84,57.93,53.96,52.49,61.12,58.44,55.85,-
KALIMANTAN SELATAN,43.87,47.54,54.43,55.01,40.03,45.14,55.22,48.9,50.18,51.26,55.52,52.47,-
KALIMANTAN TIMUR,47.9,49.06,59.05,55.72,49.9,52.98,57.83,56.57,58.03,61.05,64.37,63.9,-
KALIMANTAN UTARA,60.65,40.02,52.82,43.76,31.45,44.78,40.18,40.08,37.54,48.13,44.97,48.61,-
SULAWESI UTARA,67.58,64.9,65.81,65.7,53.24,60.48,67.3,67.98,64.55,61.99,53.66,59.49,-
SULAWESI TENGAH,35.45,32.76,48.61,48.34,34.48,36.81,47.39,53.07,48.15,53.05,51.13,56.65,-
SULAWESI SELATAN,44.52,45.68,45.22,47.43,37.69,43.33,54.85,49.6,56.55,53.35,56.01,56.11,-
SULAWESI TENGGARA,41.73,33.74,40.51,37.54,32.07,32.93,37.76,41.47,36.47,47.58,45.17,53.65,-
GORONTALO,52.12,39.72,49.55,52.12,38.96,39.84,44.7,49.54,48.43,48.44,48.79,42.29,-
SULAWESI BARAT,41.26,43.63,52.16,46.3,44.92,43.23,49.25,47.11,48.62,48.63,46.74,49.21,-
MALUKU,23.07,31.27,32.53,34.15,26.29,30.19,37.79,43.11,45.98,49.38,46.74,44.09,-
MALUKU UTARA,31.75,51.96,48.62,50.45,41.53,37.57,47.93,50.31,58.27,53.31,61.98,63.22,-
PAPUA BARAT,42.17,47.02,47.91,51.21,49.87,39.51,49.59,49.02,49.54,51.78,65.3,56.68,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,36.09,40.14,59.08,52.46,45.99,38.73,51.08,49.22,38.13,42.87,60.27,48.33,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,51.47,52.44,52.88,53.9,43.53,52.27,56.73,54.14,53.52,56.77,58.58,59.39,-
