38 Provinsi,,,,,,,,,,,,,
,Tingkat Penghunian Kamar pada Hotel Bintang,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,19.09,29.7,37.72,22.77,33.71,37.33,32.45,29.64,35.22,37.11,35.36,36.82,-
SUMATERA UTARA,42.62,38.65,42.05,33.83,49.09,44.18,48.74,43.24,44.59,44.22,50.14,51.77,-
SUMATERA BARAT,45.19,45.84,46.37,25.13,57.85,51.94,51.02,45.45,47.44,49.2,55.82,58.62,-
RIAU,40.84,42.13,46.52,34.64,44.59,45.58,39.32,38.97,40.87,41.92,40.65,43.36,-
JAMBI,37.88,36.38,43.63,38.09,48.28,50.95,52.23,47.97,54.07,56.62,58.31,58.24,-
SUMATERA SELATAN,49.94,48.69,54.77,42.31,57.18,55.7,55.15,50.86,52.99,55.98,60.32,58.62,-
BENGKULU,35.43,32.82,39.01,24.32,41.59,39.67,41.92,36.97,43.55,49.99,45.11,51.43,-
LAMPUNG,51.19,48.48,56.59,42.2,66.04,58.87,57.92,52.25,55.22,61.78,56.98,58.74,-
KEP. BANGKA BELITUNG,26.11,25.9,34.12,23.8,39.32,37.97,38.77,32.65,36.3,35.66,35.24,36.99,-
KEP. RIAU,26.39,30,35.72,27.21,37.11,45.21,41.35,40.92,42.61,48.6,45.67,62.53,-
DKI JAKARTA,52.26,46.05,52.7,45.83,51.79,54.32,54.49,54.76,54.03,56.54,60.81,59.63,-
JAWA BARAT,46.99,39.04,50.44,35.35,54.13,52.82,53.48,50.73,53.97,57.67,56.64,60.18,-
JAWA TENGAH,39.38,37.59,41.9,32.13,49.49,46.74,48.55,43.01,46.39,47.73,51.33,54.74,-
DI YOGYAKARTA,59.9,45,51.65,27.62,67.65,66.45,62.17,53.12,52.33,61.23,64.95,72.87,-
JAWA TIMUR,44.71,46.56,51.68,38.7,57.46,54.25,56.62,50.11,54.67,56.35,57.72,61.86,-
BANTEN,41.64,41.84,51.22,41.91,52.17,57,52.51,54.3,54.06,52.24,55.4,51.21,-
BALI,20.71,14.86,21.9,18.98,37.35,38.77,37.52,38.37,46.45,46.28,48.91,53.75,-
NUSA TENGGARA BARAT,31.35,29.31,38.43,15.27,32.35,38.73,37.52,35.07,35.23,34.7,42.42,40.67,-
NUSA TENGGARA TIMUR,29.85,28.46,40.8,29.64,41.46,48.32,48.44,43.37,41.41,45.34,39.33,42.03,-
KALIMANTAN BARAT,45.27,46.24,50.07,41.98,51.48,51.97,49.57,51.47,50.37,50.49,57.09,52.05,-
KALIMANTAN TENGAH,43.2,44.97,49.56,42.64,53.56,54.71,54.33,50.75,54.61,57.74,58.46,56.76,-
KALIMANTAN SELATAN,41.08,42.59,46.85,34.85,52.72,53.05,52.54,49.75,53.14,60.51,56.77,58.38,-
KALIMANTAN TIMUR,60.78,58.9,63.82,51.3,62.54,64.6,61.23,60.32,60.25,64.2,66.51,67.52,-
KALIMANTAN UTARA,50.43,48.94,54.91,35.81,44.47,49.47,46.16,48.77,44.44,50.26,47.62,47.61,-
SULAWESI UTARA,40.11,37.71,39.24,35.06,43.08,41.52,43.35,41.72,41.68,47.41,49.83,50.08,-
SULAWESI TENGAH,44.4,45.97,54.8,33.57,49.39,51.2,50.2,46.82,46.63,53.79,63.09,60.66,-
SULAWESI SELATAN,38.9,40.27,51.16,34.84,46.98,53.58,51.81,48.42,52.31,51.75,55.46,54.26,-
SULAWESI TENGGARA,38.29,41.04,40.07,27.36,32.85,41.29,37.06,39.37,42.77,44.7,46.93,49.16,-
GORONTALO,29.6,36.75,47.22,28.4,42.44,44.03,44.76,44.56,47.05,53.57,59.83,46.89,-
SULAWESI BARAT,11.86,21.66,31.16,17.12,33.73,26.88,31.46,27.78,35.96,42.41,33.82,29.92,-
MALUKU,40.36,34.44,35.83,25.82,31.54,32.34,31.92,27.35,32.67,35.89,36.71,39.47,-
MALUKU UTARA,38.87,47.72,43.28,36.75,50.77,50.27,42.87,47.06,52.93,58.53,44.5,42.88,-
PAPUA BARAT,44.07,47.67,49.14,39.98,38.62,54.23,44.37,48.83,50.46,54.18,56.55,49.97,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,39.54,37.66,38.18,38.62,32.98,34.94,38.11,35.51,39.44,39.79,33.72,39.06,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,42.43,38.54,45.15,34.23,49.85,50.28,49.77,47.38,50.02,52.31,54.41,56.9,-
