provinsi,tanggal,hotel__ratio,flight__ratio,train__ratio,bus__ratio,ship__ratio,holiday_ratio,recreation_ratio,destination_ratio
ACEH,2019-11-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08
ACEH,2019-12-01,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08,1.204819262592539e-08
ACEH,2020-01-01,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
ACEH,2020-02-01,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2820512656147274e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
ACEH,2020-03-01,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08
ACEH,2020-04-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
ACEH,2020-05-01,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08,1.3157894563711913e-08
ACEH,2020-06-01,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08,1.3513513330898468e-08
ACEH,2020-07-01,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08
ACEH,2020-08-01,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.4084506843880184e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08,1.3888888695987657e-08
