38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,1387574,1111607,1113176,1155705,1070909,1800152,1323272,1508073,1174513,1219323,1198958,1597524,15660786
SUMATERA UTARA,5094564,3282713,3442407,3676763,3469100,5774370,3996409,3699782,3208776,3419415,3416228,5440703,47921230
SUMATERA BARAT,1667509,1313185,1420799,1573606,1511963,2910574,1719018,1207708,1011691,1094813,1078273,2292513,18801652
RIAU,1990985,1425092,1541155,1563303,1574681,2179811,1646721,1227426,1018291,1131194,1119316,2087900,18505875
JAMBI,828879,652908,716028,547378,438508,572785,498688,620967,580974,533651,526013,702943,7219722
SUMATERA SELATAN,1763349,1294947,1356470,1099872,917156,1380350,848202,1265112,1121514,1276480,1168308,1575018,15066778
BENGKULU,414287,304721,336570,287546,258241,407898,292552,353997,347174,342352,340572,412683,4098593
LAMPUNG,2082997,1612674,1606207,1164672,877643,1653991,992730,1422192,1191629,1269517,1276815,1871463,17022530
KEP. BANGKA BELITUNG,298322,240226,255054,199678,122301,178462,148190,182592,171412,195073,198154,239683,2429147
KEP. RIAU,434786,351865,358547,360392,358416,460205,413445,286867,244300,274522,287732,448736,4279813
DKI JAKARTA,5397751,4349186,4859467,4798553,4428139,5181301,5727689,5927808,5562321,6491736,6602925,5290943,64617819
JAWA BARAT,11116072,9942434,11088052,11993275,10148348,17758640,12666376,13851900,11808826,13129658,13649852,14443528,151596961
JAWA TENGAH,5499613,3635334,8111673,9858616,6842427,11212167,7224219,8383154,5921102,6370710,5998022,8363789,87420826
DI YOGYAKARTA,1411202,914238,1838076,2187942,1206999,2259780,2001306,1852091,1510369,1684368,1704053,1836652,20407076
JAWA TIMUR,7370689,3397447,6166799,5021927,6577537,9120727,4493144,7666096,7960768,9665026,9788588,8254457,85483205
BANTEN,3499099,2693769,2938462,2963258,2694170,3763715,3571783,3972592,3532654,4205610,4339169,3633256,41807537
BALI,1316977,1225808,1465586,1483415,1185662,1822787,1682553,1618973,1445303,1627142,1618206,1571722,18064134
NUSA TENGGARA BARAT,638044,650532,615424,623576,672162,905622,768494,752154,691694,745786,742083,773833,8579404
NUSA TENGGARA TIMUR,730527,588445,609906,656777,668972,800071,761909,643008,323446,365828,354781,768865,7272535
KALIMANTAN BARAT,868324,718122,702067,667426,668813,965873,737058,750991,611793,644920,647391,919685,8902463
KALIMANTAN TENGAH,583298,422358,478327,459150,481899,578068,495108,490930,468770,455242,467380,583207,5963737
KALIMANTAN SELATAN,798371,624476,1065096,684460,686310,995857,781045,807828,685513,718103,763093,899515,9509667
KALIMANTAN TIMUR,979211,691855,782692,774765,797668,999931,845422,845716,747355,817926,799348,991646,10073535
KALIMANTAN UTARA,143744,109695,132047,127958,136905,143427,129237,128417,112758,120089,121255,144538,1550070
SULAWESI UTARA,256496,112937,197795,221246,235233,325311,336575,305167,267290,307207,286146,293133,3144536
SULAWESI TENGAH,451254,308973,374463,374029,368161,380756,323650,506559,404438,469816,494853,418240,4875192
SULAWESI SELATAN,2054894,1402775,1654575,1799377,1653101,2395339,1917506,2516211,2106120,2341121,2345045,2230009,24416073
SULAWESI TENGGARA,534762,405350,436423,487941,445093,621228,487514,532628,439248,303878,300770,580664,5575499
GORONTALO,90789,48019,84467,102283,109827,163192,123297,131352,106151,139035,120291,127908,1346611
SULAWESI BARAT,197588,134391,163587,174495,152740,221961,173239,262037,204889,242300,236861,210792,2374880
MALUKU,258094,193290,206894,216036,228658,224863,111095,104002,91767,96055,97869,243228,2071851
MALUKU UTARA,125514,76500,166014,190003,163855,119683,102619,99582,85337,177456,163370,124114,1594047
PAPUA BARAT,77687,68237,70936,61674,74772,73864,75231,66455,29172,38929,37917,76759,751633
PAPUA BARAT DAYA,107600,74857,88967,90413,86939,98254,89553,91765,44326,54468,56703,103821,987666
PAPUA,182145,114406,123340,114017,127007,140716,133551,134582,98964,118066,116762,162635,1566191
PAPUA SELATAN,33049,22421,24413,19659,24773,25402,24994,24147,22190,25997,28259,29814,305118
PAPUA TENGAH,59607,44456,47250,42320,49024,48416,47175,39415,33459,40876,40095,54849,546942
PAPUA PEGUNUNGAN,38588,28574,29957,33286,34624,25967,28903,26765,20207,19967,27678,32883,347399
INDONESIA,60784241,44588823,56669168,57856792,51548736,78691516,57739472,64307041,55406504,62173655,62559134,69833651,722158733
