38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,396953,421243,445804,378402,599117,457822,445355,397120,440652,490983,445046,615908,5534405
SUMATERA UTARA,1424081,1375473,1415803,1369304,1674445,1571487,1127318,1139616,1329028,1641459,1433761,2256408,17758183
SUMATERA BARAT,775782,735587,793796,712644,1025889,894952,664848,635405,717460,829981,733146,1084422,9603912
RIAU,507998,482533,511576,451372,501143,521519,486997,418261,480952,542388,503440,735090,6143269
JAMBI,247256,225630,239867,226476,280176,255590,240188,205004,234360,277376,247704,367540,3047167
SUMATERA SELATAN,541878,511557,553847,516146,608248,574663,499604,477028,554767,624377,568239,796983,6827337
BENGKULU,139180,131185,137722,124531,179928,159098,126188,123317,139828,160489,138376,210851,1770693
LAMPUNG,707904,647312,746409,706069,975559,791886,564563,602800,749160,835530,760453,1089221,9176866
KEP. BANGKA BELITUNG,65347,72930,87341,84283,93531,93222,73819,62355,80206,109459,101097,140399,1063989
KEP. RIAU,60617,64867,75329,70355,50771,65954,36721,40978,73747,88509,85577,122247,835672
DKI JAKARTA,2617796,3090473,3558538,3486742,3671451,3020770,1516119,2149334,2914875,3590483,3503961,4513926,37634468
JAWA BARAT,6431349,6772915,8019390,7535164,9062176,7167804,4073984,6941962,8993185,10796398,9236395,11284591,96315313
JAWA TENGAH,10965887,10644269,10992293,10783115,12250918,10559913,8735768,10234832,12699513,15670718,16327544,17809415,147674185
DI YOGYAKARTA,1439708,1429155,1684846,1637275,1754976,1784864,920309,1283886,1879850,2749665,2831810,3437656,22834000
JAWA TIMUR,12801904,12582632,12511219,11833348,13144701,14179950,9773674,9608471,12421768,15355312,15619037,19245908,159077924
BANTEN,2505336,2674036,2951840,2864905,3435666,2684415,1859367,2654678,3508920,4154690,3955307,3484770,36733930
BALI,735234,627391,739544,913033,873863,942465,441796,575592,768756,1023186,1025748,1318502,9985110
NUSA TENGGARA BARAT,222304,195816,244434,237622,313718,311343,224399,232826,253597,300825,272499,329405,3138788
NUSA TENGGARA TIMUR,236790,162261,222653,173424,180257,246405,205857,218815,277164,310030,283321,591838,3108815
KALIMANTAN BARAT,165093,194460,188046,171318,177093,191558,158340,186790,201094,236697,199557,341346,2411392
KALIMANTAN TENGAH,153097,151390,167356,155904,160403,187859,136067,130487,151033,182649,153217,245330,1974792
KALIMANTAN SELATAN,321253,313139,351197,328515,389760,381521,346333,265638,323585,415035,373463,473090,4282529
KALIMANTAN TIMUR,165649,154006,194579,189339,211241,233957,137412,155570,207404,243553,221625,378506,2492841
KALIMANTAN UTARA,37548,26992,27340,22191,20610,24856,18927,17571,22787,29487,24119,36413,308841
SULAWESI UTARA,252298,284672,316834,319841,372363,344017,237853,237457,290810,340274,333070,403468,3732957
SULAWESI TENGAH,140380,139294,177093,154719,187679,183102,155542,131074,157759,187825,168918,243526,2026911
SULAWESI SELATAN,743342,724546,847765,765199,937945,928134,838925,723167,824543,960245,842440,1091834,10228085
SULAWESI TENGGARA,209867,189183,208125,187883,237647,212043,190375,179936,214553,237909,220257,293377,2581155
GORONTALO,90759,92165,103269,89741,117211,100327,92090,85478,97555,104446,93069,122720,1188830
SULAWESI BARAT,124447,77882,81571,70523,88146,91217,89158,80028,90870,91955,86912,109793,1082502
MALUKU,78120,47482,48787,71019,50091,55585,32749,38200,46237,52031,51355,68109,639765
MALUKU UTARA,68567,47555,54200,51844,57892,57866,44031,46619,51543,67386,51408,73794,672705
PAPUA BARAT,56475,49044,41249,35284,31565,42558,26814,29913,42337,40861,33842,55063,485005
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,124573,56995,69170,86207,56054,86681,50949,48378,90643,79326,63345,114802,927123
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,45554772,45396070,48808832,46803737,53772233,49405403,34572439,40358586,51330541,62821537,60989058,73486251,613299459
