38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,1009785,937728,905565,1282532,995794,1065780,958675,918712,1121450,1033267,1010852,1684857,12924997
SUMATERA UTARA,4055407,3392029,3149185,3548654,3419857,3369808,3414106,3379729,4019635,3400972,3358557,4258259,42766198
SUMATERA BARAT,1767621,1758610,1281044,1660760,1302524,1642366,1752732,1503626,1594916,1503097,1500273,1874849,19142418
RIAU,1546102,1449021,1434953,1750903,1488391,1446350,1421029,1409710,1557153,1443299,1370852,1674461,17992224
JAMBI,665652,610850,612554,886241,662793,665827,632888,641328,726289,742582,734310,953255,8534569
SUMATERA SELATAN,1425715,1319045,1285518,1854471,1326810,1361245,1309530,1377414,1613105,1637643,1613149,2019473,18143118
BENGKULU,361373,308036,298351,477429,339591,358206,368804,343644,366867,348192,339718,661692,4571903
LAMPUNG,1618490,1338941,1260766,1702675,1508526,1658113,1460669,1309129,1449937,1403703,1381623,1783041,17875613
KEP. BANGKA BELITUNG,250498,237943,224732,297882,237959,235572,250992,231008,274554,248991,247934,406786,3144851
KEP. RIAU,291092,290290,268990,333667,276392,241548,267206,244132,327297,298164,294175,358994,3491947
DKI JAKARTA,6575224,6591103,6516141,6717681,7003491,6400253,6306388,6859892,8325083,8564371,8489690,8883921,87233238
JAWA BARAT,14014835,12944090,12045327,17307396,13200640,13402819,12180017,13044155,14512438,13741051,13659362,17344674,167396804
JAWA TENGAH,14861131,10842522,13469688,17334664,11518425,11272486,10256968,10850505,11684454,11321067,11172953,12257177,146842040
DI YOGYAKARTA,4267235,3033596,2593849,3543912,3530518,3186945,2432476,2847256,3047605,2916043,2891101,3740203,38030739
JAWA TIMUR,18995177,18581675,16845753,25059729,18654895,19889602,17652253,14587397,15450635,16365062,16334513,20295127,218711818
BANTEN,3971406,3926077,3775395,4802987,3991757,3907026,3507136,3884994,3975322,3844082,3775019,4896647,48257848
BALI,1984441,2017933,1879483,1935521,1965093,1826331,1737653,1737460,1886290,1823840,1790690,2060204,22644939
NUSA TENGGARA BARAT,1094925,1031185,1005994,1202805,1072395,1141814,1121959,1231753,1318429,1141882,1110079,1296526,13769746
NUSA TENGGARA TIMUR,707139,615259,646883,656028,608224,604328,676533,660044,694905,657146,625396,831362,7983247
KALIMANTAN BARAT,689876,656244,622776,848813,628843,663625,603892,606146,705904,652961,644072,842534,8165686
KALIMANTAN TENGAH,595255,523350,517618,646408,522476,506202,505991,458785,463339,444704,438495,876447,6499070
KALIMANTAN SELATAN,1076693,828106,796182,1092475,827514,853370,839264,892236,954172,860051,849789,1798766,11668618
KALIMANTAN TIMUR,932814,907903,860633,1163540,922361,890636,906438,1097616,1157551,998379,989602,1378485,12205958
KALIMANTAN UTARA,85018,77726,74582,90575,78136,70020,72550,72243,85743,75944,75323,104482,962342
SULAWESI UTARA,700470,628713,625920,762190,668197,671549,684236,652308,677540,661787,657858,811534,8202302
SULAWESI TENGAH,941412,831294,809385,1061864,814471,774521,769772,561958,597380,589332,582891,994941,9329221
SULAWESI SELATAN,3390270,3016298,2891023,3551378,3087984,3145350,3036552,2541035,2667584,2634716,2617820,3938280,36518290
SULAWESI TENGGARA,1200314,1145554,1039727,1442912,1070042,1110037,1020919,938098,970484,960677,951998,1095611,12946373
GORONTALO,284274,270873,274795,376567,285885,287451,258399,255357,279435,256219,252004,356180,3437439
SULAWESI BARAT,396450,354721,325813,443291,342758,344329,337003,271517,275975,272051,263986,380630,4008524
MALUKU,190408,156854,161337,190504,141499,117608,121575,114005,124803,128517,120832,288504,1856446
MALUKU UTARA,190002,174338,163305,206819,161274,143794,147500,145836,192976,195417,195588,302832,2219681
PAPUA BARAT,44841,38474,35649,36469,30025,24109,27033,24313,26314,27093,27863,76974,419157
PAPUA BARAT DAYA,87002,75511,73040,76064,68339,60563,61443,52517,71579,73886,75754,141714,917412
PAPUA,129823,102856,103119,107380,90245,80858,87182,74030,87165,84662,85704,236682,1269706
PAPUA SELATAN,22881,17468,15993,17842,13477,10197,11089,9672,10491,10769,10193,28747,178819
PAPUA TENGAH,47850,39547,37022,32192,28351,20750,24028,26024,35126,35605,38393,76550,441438
PAPUA PEGUNUNGAN,32767,35410,28300,23991,23709,20894,20994,22665,31259,31668,34146,73489,379292
INDONESIA,90501668,81107173,78956390,104527211,82909661,83472282,77243874,75878249,83361184,81428892,80612557,101084890,1021084031
