38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,1914909,1557187,1389908,2441257,1549593,1910319,1626932,-,-,-,-,-,-
SUMATERA UTARA,4273527,4027647,3990374,6099447,5118791,5411686,5119811,-,-,-,-,-,-
SUMATERA BARAT,2007861,1627328,1640903,2985230,1763365,2005118,1938129,-,-,-,-,-,-
RIAU,1939838,1663417,1660146,2557547,1946362,2192594,2109928,-,-,-,-,-,-
JAMBI,861979,759993,739857,1238734,947569,986557,914371,-,-,-,-,-,-
SUMATERA SELATAN,2066307,1943454,1811327,2951323,2122405,2418231,2234581,-,-,-,-,-,-
BENGKULU,641184,500687,467356,790208,573874,668921,683082,-,-,-,-,-,-
LAMPUNG,2222813,1789402,1661838,2992879,2309209,2619503,2301590,-,-,-,-,-,-
KEP. BANGKA BELITUNG,358579,290178,286169,507560,383694,431013,398321,-,-,-,-,-,-
KEP. RIAU,334449,282200,274276,483261,343602,381055,401830,-,-,-,-,-,-
DKI JAKARTA,7771684,7942806,7460546,8000591,8247240,8508931,8604137,-,-,-,-,-,-
JAWA BARAT,17926093,15161782,15034773,22522037,17697435,18751277,17765843,-,-,-,-,-,-
JAWA TENGAH,13158987,11941224,11809395,17987616,11158969,12032385,11119075,-,-,-,-,-,-
DI YOGYAKARTA,3758109,3374272,3107969,3818919,3547415,3384447,3519368,-,-,-,-,-,-
JAWA TIMUR,19592435,16475887,16430577,25227235,16982719,18706855,17761125,-,-,-,-,-,-
BANTEN,5374964,4933130,4906087,6510839,5298701,5346246,5125363,-,-,-,-,-,-
BALI,2311747,1999492,2169182,2346090,2221177,2239144,2293035,-,-,-,-,-,-
NUSA TENGGARA BARAT,1230718,1038329,1051980,1427974,1177046,1294792,1216472,-,-,-,-,-,-
NUSA TENGGARA TIMUR,834590,752936,765502,825446,820703,905963,981528,-,-,-,-,-,-
KALIMANTAN BARAT,903765,911674,792124,1488131,1164615,1299938,1193035,-,-,-,-,-,-
KALIMANTAN TENGAH,980120,845613,874622,1148981,942771,1014512,974579,-,-,-,-,-,-
KALIMANTAN SELATAN,1822941,1507819,1514382,1897892,1495286,1652216,1487143,-,-,-,-,-,-
KALIMANTAN TIMUR,1386611,1212334,1088863,1667273,1235577,1404587,1384700,-,-,-,-,-,-
KALIMANTAN UTARA,122028,114867,109841,159862,141558,153302,156028,-,-,-,-,-,-
SULAWESI UTARA,1071712,937681,954622,1315772,1219121,1322030,1409053,-,-,-,-,-,-
SULAWESI TENGAH,1004763,875103,859765,1147915,914263,1041761,951615,-,-,-,-,-,-
SULAWESI SELATAN,3985023,3190590,3333448,4451289,3381004,3699289,3372919,-,-,-,-,-,-
SULAWESI TENGGARA,1091515,1001930,907009,1314878,1067016,1213254,1067152,-,-,-,-,-,-
GORONTALO,382319,368976,366701,491534,431899,486232,432676,-,-,-,-,-,-
SULAWESI BARAT,400851,385842,351054,471950,342724,431199,375496,-,-,-,-,-,-
MALUKU,313240,275693,266268,375432,279052,290252,303821,-,-,-,-,-,-
MALUKU UTARA,310296,280887,284913,337719,277836,295094,292487,-,-,-,-,-,-
PAPUA BARAT,80903,76976,71624,74778,60285,68353,77289,-,-,-,-,-,-
PAPUA BARAT DAYA,144575,123065,130684,143347,130033,136113,142588,-,-,-,-,-,-
PAPUA,247409,193885,189094,222813,218825,249893,268807,-,-,-,-,-,-
PAPUA SELATAN,28904,24083,31420,32860,26497,29870,34839,-,-,-,-,-,-
PAPUA TENGAH,79813,63870,61903,75801,71634,69478,87135,-,-,-,-,-,-
PAPUA PEGUNUNGAN,61387,45561,62979,55386,63998,63471,72101,-,-,-,-,-,-
INDONESIA,102998948,90497800,88909481,128587806,97673863,105115881,100197984,-,-,-,-,-,-
