,1/31/2019,2/31/2019,3/31/2019,4/31/2019,5/31/2019,6/31/2019,7/31/2019,8/31/2019,9/31/2019,10/31/2019,11/31/2019,12/31/2019,1/31/2020,2/31/2020,3/31/2020,4/31/2020,5/31/2020,6/31/2020,7/31/2020,8/31/2020,9/31/2020,10/31/2020,11/31/2020,12/31/2020,1/31/2021,2/31/2021,3/31/2021,4/31/2021,5/31/2021,6/31/2021,7/31/2021,8/31/2021,9/31/2021,10/31/2021,11/31/2021,12/31/2021,1/31/2022,2/31/2022,3/31/2022,4/31/2022,5/31/2022,6/31/2022,7/31/2022,8/31/2022,9/31/2022,10/31/2022,11/31/2022,12/31/2022,1/31/2023,2/31/2023,3/31/2023,4/31/2023,5/31/2023,6/31/2023,7/31/2023,8/31/2023,9/31/2023,10/31/2023,11/31/2023,12/31/2023,1/31/2024,2/31/2024,3/31/2024,4/31/2024,5/31/2024,6/31/2024,7/31/2024,8/31/2024,9/31/2024,10/31/2024,11/31/2024,12/31/2024,1/31/2025,2/31/2025,3/31/2025,4/31/2025,5/31/2025,6/31/2025,7/31/2025
BALI,1316977,1225808,1465586,1483415,1185662,1822787,1682553,1618973,1445303,1627142,1618206,1571722,1198046,1076140,684140,273450,261406,427300,596736,773886,737473,798998,847456,1144499,735234,627391,739544,913033,873863,942465,441796,575592,768756,1023186,1025748,1318502,991643,746026,1216580,1015904,1368766,1374366,1288444,1152090,1125727,1172441,1118730,1688997,1830882,1284069,1278466,1616487,1619283,2090327,1955513,1751039,1747551,1874460,1777605,2007821,1984441,2017933,1879483,1935521,1965093,1826331,1737653,1737460,1886290,1823840,1790690,2060204,2311747,1999492,2169182,2346090,2221177,2239144,2293035
NUSA TENGGARA BARAT,638044,650532,615424,623576,672162,905622,768494,752154,691694,745786,742083,773833,357562,346046,266947,114758,134465,219509,292720,345466,303882,321857,297806,371680,222304,195816,244434,237622,313718,311343,224399,232826,253597,300825,272499,329405,264251,233313,441171,266829,431606,347975,351214,288102,286740,276772,324132,579154,774963,574848,525034,609687,1025070,1628775,1718321,1406166,1254525,1326692,1287287,791036,1094925,1031185,1005994,1202805,1072395,1141814,1121959,1231753,1318429,1141882,1110079,1296526,1230718,1038329,1051980,1427974,1177046,1294792,1216472
NUSA TENGGARA TIMUR,730527,588445,609906,656777,668972,800071,761909,643008,323446,365828,354781,768865,196280,177430,161512,102092,78698,123912,180686,208219,204091,269250,232124,359388,236790,162261,222653,173424,180257,246405,205857,218815,277164,310030,283321,591838,498022,279400,440468,222175,281871,283506,309202,252218,249094,245510,290876,497011,657639,367905,269024,291353,344325,501565,494235,348069,339774,345529,335297,769609,707139,615259,646883,656028,608224,604328,676533,660044,694905,657146,625396,831362,834590,752936,765502,825446,820703,905963,981528
KALIMANTAN BARAT,868324,718122,702067,667426,668813,965873,737058,750991,611793,644920,647391,919685,238250,192950,133713,58284,70612,114469,156207,188940,139666,157775,142495,261247,165093,194460,188046,171318,177093,191558,158340,186790,201094,236697,199557,341346,270324,235449,250992,230254,365089,271558,315667,258920,239591,260901,235452,345666,419418,321107,306368,390690,404409,407707,407292,327538,295721,312246,356052,762490,689876,656244,622776,848813,628843,663625,603892,606146,705904,652961,644072,842534,903765,911674,792124,1488131,1164615,1299938,1193035
KALIMANTAN TENGAH,583298,422358,478327,459150,481899,578068,495108,490930,468770,455242,467380,583207,199469,184057,162270,78802,75118,105229,153741,178547,177946,191431,178377,218817,153097,151390,167356,155904,160403,187859,136067,130487,151033,182649,153217,245330,196995,175867,210680,204164,255832,220878,257012,223441,217319,230067,209125,282224,304152,241954,245960,275200,299372,340119,337424,334553,277704,276691,222334,867859,595255,523350,517618,646408,522476,506202,505991,458785,463339,444704,438495,876447,980120,845613,874622,1148981,942771,1014512,974579
KALIMANTAN SELATAN,798371,624476,1065096,684460,686310,995857,781045,807828,685513,718103,763093,899515,453132,525682,388598,142599,140584,217081,299967,378968,340628,401871,373595,470887,321253,313139,351197,328515,389760,381521,346333,265638,323585,415035,373463,473090,401029,352761,429164,325854,620601,432460,529472,422558,399050,449173,416227,532388,630195,481876,477294,578791,589759,630115,673975,520794,517769,542022,445758,1781498,1076693,828106,796182,1092475,827514,853370,839264,892236,954172,860051,849789,1798766,1822941,1507819,1514382,1897892,1495286,1652216,1487143
KALIMANTAN TIMUR,979211,691855,782692,774765,797668,999931,845422,845716,747355,817926,799348,991646,314243,286192,217704,91121,95763,153412,179746,193051,179654,209778,208725,275463,165649,154006,194579,189339,211241,233957,137412,155570,207404,243553,221625,378506,310053,256145,332387,306368,483121,454319,573460,521964,507079,533691,514833,638297,641896,579530,580672,580561,643021,695994,663800,620068,597562,560799,564435,1174998,932814,907903,860633,1163540,922361,890636,906438,1097616,1157551,998379,989602,1378485,1386611,1212334,1088863,1667273,1235577,1404587,1384700
KALIMANTAN UTARA,143744,109695,132047,127958,136905,143427,129237,128417,112758,120089,121255,144538,27906,28952,22807,9670,8536,12698,17870,19917,20879,22363,22030,68039,37548,26992,27340,22191,20610,24856,18927,17571,22787,29487,24119,36413,26920,23240,28683,26925,30226,30204,32132,29288,27807,30041,29600,39514,35205,32471,39504,37128,46157,54764,52221,51470,44774,51068,42636,101473,85018,77726,74582,90575,78136,70020,72550,72243,85743,75944,75323,104482,122028,114867,109841,159862,141558,153302,156028
SULAWESI UTARA,256496,112937,197795,221246,235233,325311,336575,305167,267290,307207,286146,293133,156614,154197,158677,66627,58036,112243,193492,259030,282281,335445,326566,377599,252298,284672,316834,319841,372363,344017,237853,237457,290810,340274,333070,403468,327133,260815,347157,349618,503507,394131,436556,352431,360004,365860,322748,401895,421675,329629,358498,468296,460407,480374,492400,422694,440086,427074,390052,707661,700470,628713,625920,762190,668197,671549,684236,652308,677540,661787,657858,811534,1071712,937681,954622,1315772,1219121,1322030,1409053
SULAWESI TENGAH,451254,308973,374463,374029,368161,380756,323650,506559,404438,469816,494853,418240,185796,176960,145200,65380,65852,86803,119534,157123,132882,109312,137047,189733,140380,139294,177093,154719,187679,183102,155542,131074,157759,187825,168918,243526,195589,173663,609507,691868,817447,597158,646673,532060,515189,543272,555548,575043,667588,567749,695711,702310,716311,465410,377459,302353,251645,264313,284303,993915,941412,831294,809385,1061864,814471,774521,769772,561958,597380,589332,582891,994941,1004763,875103,859765,1147915,914263,1041761,951615
