38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,526417,501651,585675,434633,935025,566361,748573,531072,500673,513056,471520,639922,6954578
SUMATERA UTARA,2022964,1636066,1846809,1658463,2896949,1987624,2216932,1678953,1664991,1785747,1525633,2283325,23204456
SUMATERA BARAT,926043,814741,1007630,838560,1655583,988346,1176922,905311,891560,949081,877671,1307815,12339263
RIAU,636543,581783,673534,597000,897026,692293,795698,662795,677309,692329,640199,857727,8404236
JAMBI,302504,255285,313009,310853,449078,316554,364514,285681,280278,289153,262087,351987,3780983
SUMATERA SELATAN,650971,538004,691513,725485,970391,679215,834754,659155,668784,665454,603787,804851,8492364
BENGKULU,180768,137886,172874,160737,293433,173024,203448,158883,159439,154957,133058,185142,2113649
LAMPUNG,878496,694763,866807,934561,1412731,866263,1043996,772720,833337,834108,762778,1025144,10925704
KEP. BANGKA BELITUNG,122602,99338,142414,125002,183098,135070,146618,117743,120832,126635,115001,144054,1578407
KEP. RIAU,93349,75268,105778,104207,138874,147934,149456,123680,123914,132432,131230,185232,1511354
DKI JAKARTA,3619251,2756201,4586681,3999014,5358565,5251021,4623932,4521438,5423854,5504491,4757430,5606163,56008041
JAWA BARAT,9395919,7153882,10560424,7649342,14288645,10403291,11576829,9433636,9923223,11162878,9886282,12097392,123531743
JAWA TENGAH,14173348,13040775,15805048,6012461,10124919,6985364,7996200,6551001,7168810,7918510,6403951,8165328,110345715
DI YOGYAKARTA,2796450,2361262,2570708,1161028,2758594,2141729,2197650,1703347,1798014,2078100,1679978,2496730,25743590
JAWA TIMUR,19124849,19184354,27190607,12078225,19934247,14691026,16068542,13235419,12461460,15437648,14709379,16432381,200548137
BANTEN,2477846,1976399,3158598,2469664,4021101,3150313,3451864,3312882,3701537,4003986,3234134,3639318,38597642
BALI,991643,746026,1216580,1015904,1368766,1374366,1288444,1152090,1125727,1172441,1118730,1688997,14259714
NUSA TENGGARA BARAT,264251,233313,441171,266829,431606,347975,351214,288102,286740,276772,324132,579154,4091259
NUSA TENGGARA TIMUR,498022,279400,440468,222175,281871,283506,309202,252218,249094,245510,290876,497011,3849353
KALIMANTAN BARAT,270324,235449,250992,230254,365089,271558,315667,258920,239591,260901,235452,345666,3279863
KALIMANTAN TENGAH,196995,175867,210680,204164,255832,220878,257012,223441,217319,230067,209125,282224,2683604
KALIMANTAN SELATAN,401029,352761,429164,325854,620601,432460,529472,422558,399050,449173,416227,532388,5310737
KALIMANTAN TIMUR,310053,256145,332387,306368,483121,454319,573460,521964,507079,533691,514833,638297,5431717
KALIMANTAN UTARA,26920,23240,28683,26925,30226,30204,32132,29288,27807,30041,29600,39514,354580
SULAWESI UTARA,327133,260815,347157,349618,503507,394131,436556,352431,360004,365860,322748,401895,4421855
SULAWESI TENGAH,195589,173663,609507,691868,817447,597158,646673,532060,515189,543272,555548,575043,6453017
SULAWESI SELATAN,930906,803391,3267252,3768595,4619651,2492319,2732814,2136650,1803376,1922182,1834305,2287771,28599212
SULAWESI TENGGARA,243982,220654,1495127,1585129,1592211,1050720,1231851,1097809,1044426,1056378,1136194,1028565,12783046
GORONTALO,104369,88530,151616,140420,189314,130595,140784,113456,109350,100365,92496,117518,1478813
SULAWESI BARAT,86174,83763,425016,516032,611768,409575,442861,373165,318147,311722,310736,345542,4234501
MALUKU,41334,35725,49734,57885,56722,51382,48932,46979,52568,52357,43671,75278,612567
MALUKU UTARA,60617,55228,141231,152337,166862,140421,157797,135693,132686,119219,115762,133388,1511241
PAPUA BARAT,35776,30984,37297,34020,38551,39956,39706,40948,39159,40627,36457,56395,469876
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,71001,63721,76243,69361,77379,81989,86039,84147,78700,81068,78388,111840,959876
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,62984438,55926333,80228414,49222973,78828783,57978940,63216544,52715635,53904027,60040211,53859398,65958997,734864693
